site,headline,storyURL,scrapedate,cat
abc,Biden legal team preps for November voting fight,https://abcnews.go.com/Politics/biden-campaign-expands-legal-team-preparation-voting-fight/story?id=73000195,9/14/2020 19:19,lightblue
abc,Wildfires intensify economic pain in the West,https://abcnews.go.com/Business/wireStory/wildfires-intensify-economic-pain-west-73005967,9/14/2020 19:19,lightblue
abc,Victims' names released in attack near Rutgers ,https://abcnews.go.com/US/gunmen-sought-deadly-15-attack-party-rutgers-university/story?id=72998304,9/14/2020 19:19,lightblue
abc,"3 dead, 3 wounded in violent rampage in Tenn.",https://abcnews.go.com/US/wireStory/officials-dead-wounded-violent-rampage-tennessee-72997523,9/14/2020 19:19,lightblue
abc,Feds probing in-custody death of Black man in La.,https://abcnews.go.com/US/wireStory/ap-feds-probing-custody-death-black-man-louisiana-73005770,9/14/2020 19:19,lightblue
abc,Possible hints of life in Venus's clouds,https://abcnews.go.com/Technology/wireStory/astronomers-hints-life-venuss-clouds-73000311,9/14/2020 19:19,lightblue
abc,Electoral college vs popular vote in America,https://abcnews.go.com/Politics/wireStory/vision-2020-electoral-college-popular-vote-america-73001253,9/14/2020 19:19,lightblue
abc,South Dakota AG involved in fatal car accident,https://abcnews.go.com/US/south-dakota-ag-involved-fatal-car-accident-weekend/story?id=73006200,9/14/2020 19:19,lightblue
abc,Tear gas used on crowd protesting police shooting,https://abcnews.go.com/US/wireStory/tear-gas-crowd-protesting-fatal-police-shooting-72993693,9/14/2020 19:19,lightblue
abc,Weekend gun violence in Chicago leaves 10 dead,https://abcnews.go.com/US/wireStory/weekend-gun-violence-chicago-leaves-10-dead-43-73002974,9/14/2020 19:19,lightblue
abc,"Jailed for 37 years, man cleared of murder, rape",https://abcnews.go.com/US/wireStory/jailed-37-years-florida-man-cleared-murder-rape-73001057,9/14/2020 19:19,lightblue
abc,Clerk quits after long vote count delays in Mass.,https://abcnews.go.com/Politics/wireStory/clerk-quits-long-vote-count-delays-massachusetts-72999186,9/14/2020 19:19,lightblue
npr,Woodward Addresses Criticism That He Should've Detailed Trump Interviews Earlier,https://www.npr.org/2020/09/14/912524343/woodward-addresses-criticism-that-he-shouldve-detailed-trump-interviews-earlier,9/14/2020 19:19,center
npr,"A Possible Sign Of Life Right Next Door To Earth, On Venus",https://www.npr.org/2020/09/14/912619891/a-possible-sign-of-life-right-next-door-to-earth-on-venus,9/14/2020 19:19,center
npr,Hurricane Sally Predicted To Bring 110-MPH Winds To Gulf Coast On Tuesday,https://www.npr.org/2020/09/14/912658940/sally-is-expected-to-be-a-hurricane-when-it-hits-gulf-coast-tuesday,9/14/2020 19:19,center
npr,Wildfires Make Dangerous Air For Farmworkers: 'It's Like You Can't Breathe',https://www.npr.org/2020/09/14/912752013/wildfires-make-dangerous-air-for-farmworkers-it-s-like-you-can-t-breathe,9/14/2020 19:19,center
npr,"Protests Erupt In Lancaster, Pa., Following Officer-Involved Shooting Death ",https://www.npr.org/sections/live-updates-protests-for-racial-justice/2020/09/14/912753721/protests-erupt-in-lancaster-pa-following-officer-involved-shooting-death,9/14/2020 19:19,center
npr,At Least 35 Dead As Wildfires Rampage Along The West Coast,https://www.npr.org/2020/09/14/912739721/at-least-35-dead-as-wildfires-rampage-along-the-west-coast,9/14/2020 19:19,center
npr,'It's A Bit Surreal': Oregon's Air Quality Suffers As Fires Complicate COVID-19 Fight,https://www.npr.org/2020/09/14/912701172/its-a-bit-surreal-oregon-fights-smoke-from-record-wildfires-during-a-pandemic,9/14/2020 19:19,center
npr,How The Coronavirus Has Affected Individual Members Of Congress,https://www.npr.org/2020/04/15/833692377/how-the-coronavirus-has-affected-individual-members-of-congress,9/14/2020 19:19,center
npr,At Least 25 Indian Lawmakers Test Positive For Coronavirus As Parliament Reopens,https://www.npr.org/sections/coronavirus-live-updates/2020/09/14/912691532/at-least-25-indian-lawmakers-test-positive-for-coronavirus-as-parliament-reopens,9/14/2020 19:19,center
npr,'We Had To Take Action': States In Mexico Move To Ban Junk Food Sales To Minors,https://www.npr.org/2020/09/14/912029399/we-had-to-take-action-states-in-mexico-move-to-ban-junk-food-sales-to-minors,9/14/2020 19:19,center
npr,Coronavirus World Map: Tracking The Spread Of The Outbreak,https://www.npr.org/sections/goatsandsoda/2020/03/30/822491838/coronavirus-world-map-tracking-the-spread-of-the-outbreak,9/14/2020 19:19,center
npr,Coronavirus Maps: How Severe Is Your State's Outbreak?,https://www.npr.org/sections/health-shots/2020/09/01/816707182/map-tracking-the-spread-of-the-coronavirus-in-the-u-s,9/14/2020 19:19,center
npr,"In Florida, Schools Under Pressure To Get Rid Of Police Officers",https://www.npr.org/2020/09/14/911478446/in-florida-schools-under-pressure-to-get-rid-of-police-officers,9/14/2020 19:19,center
npr,Oracle's Deal For TikTok May Not Include A Purchase ,https://www.npr.org/2020/09/14/912542985/microsoft-oracle-lose-bids-for-tiktok-according-to-china-state-tv,9/14/2020 19:19,center
npr,"As Auto Industry Roars Back, Worker Shortages Throw Up Roadblocks",https://www.npr.org/2020/09/14/911408377/as-auto-industry-roars-back-worker-shortages-throw-up-roadblocks,9/14/2020 19:19,center
npr,Army Marshals Resources To Aid In Race For Coronavirus Vaccine,https://www.npr.org/2020/09/14/911930766/army-marshals-resources-to-aid-in-race-for-coronavirus-vaccine,9/14/2020 19:19,center
npr,"Redesigning The Office For The Next 100-Year Flu (Yes, It's Coming)",https://www.npr.org/sections/health-shots/2020/09/14/909805060/redesigning-the-office-to-maximize-health,9/14/2020 19:19,center
npr,Map: Mail-In Voting Rules By State,https://www.npr.org/2020/09/14/909338758/map-mail-in-voting-rules-by-state,9/14/2020 19:19,center
cbs,['\n            CBSN\n        '],https://www.cbsnews.com/live/,9/14/2020 19:19,lightblue
cbs,['\n            50 days until Election Day\n        '],https://www.cbsnews.com/video/where-the-campaigns-stand-50-days-before-election-day/,9/14/2020 19:19,lightblue
cbs,['\n            College COVID outbreaks and parties continue\n        '],https://www.cbsnews.com/video/covid-19-outbreaks-at-colleges-worry-experts-as-some-students-continue-to-ignore-health-rules/,9/14/2020 19:19,lightblue
cbs,['\n            Georgia deputy fired for beating Black man\n        '],https://www.cbsnews.com/video/georgia-sheriffs-deputy-fired-for-beating-black-man-during-traffic-stop/,9/14/2020 19:19,lightblue
cbs,"['\n            CBSN Originals: ""Feminism""\n        ']",https://www.cbsnews.com/video/cbsn-originals-presents-speaking-frankly-feminism/,9/14/2020 19:19,lightblue
cbs,"['\n            Hurricane Sally, now a Category 2, takes aim at the Gulf Coast\n        ']",https://www.cbsnews.com/news/hurricane-sally-gulf-coast-path-track-latest-forecast-2020-09-14/,9/14/2020 19:19,lightblue
cbs,['\n            35 dead as wildfires rage across the West Coast\n        '],https://www.cbsnews.com/news/wildfires-west-coast-death-toll-rises-2020-09-14/,9/14/2020 19:19,lightblue
cbs,"[""\n            Rochester mayor ousts police chief after Daniel Prude's death\n        ""]",https://www.cbsnews.com/news/daniel-prude-death-mayor-rochester-new-york-failures-investigation-2020-09-14/,9/14/2020 19:19,lightblue
cbs,['\n            Astronomers find possible signs of life on Venus\n        '],https://www.cbsnews.com/news/venus-possible-life-scientists/,9/14/2020 19:19,lightblue
cbs,"['\n            Kaepernick says NFL\'s social justice gestures are ""propaganda""\n        ']",https://www.cbsnews.com/news/colin-kaepernick-nfl-eric-reid-social-justice-propaganda/,9/14/2020 19:19,lightblue
cbs,['\n            How the 2020 campaign is also being waged in the courts\n        '],https://www.cbsnews.com/news/2020-presidential-election-campaign-courts/,9/14/2020 19:19,lightblue
cbs,"['\n            The price of inequality? Lost annual income of $42,000\n        ']",https://www.cbsnews.com/news/income-inqequality-42k-lost-anually/,9/14/2020 19:19,lightblue
cbs,"['\n            Biden: Climate change means ""you aren\'t safe in Donald Trump\'s America""\n        ']",https://www.cbsnews.com/news/joe-biden-california-western-wildfires-climate-change-today-2020-09-14/,9/14/2020 19:19,lightblue
cbs,['\n            Dems launch probe into political interference in CDC reports\n        '],https://www.cbsnews.com/news/democrats-investigation-cdc-political-interference/,9/14/2020 19:19,lightblue
cbs,['\n            Trump alma mater says Biden plan better for economic growth\n        '],https://www.cbsnews.com/news/joe-biden-tax-plan-debt-wharton-penn/,9/14/2020 19:19,lightblue
cbs,['\n            How Black doulas are fighting maternal mortality\n        '],https://www.cbsnews.com/news/doulas-black-maternal-mortality-rate-crisis/,9/14/2020 19:19,lightblue
cbs,['\n            Texas officer charged with assault in 2019 fatal shooting\n        '],https://www.cbsnews.com/news/police-shooting-pamela-turner-killed-officer-juan-delacruz-charged-today-2020-09-14/,9/14/2020 19:19,lightblue
cbs,['\n            FIA investigating Lewis Hamilton for Breonna Taylor shirt\n        '],https://www.cbsnews.com/news/lewis-hamilton-breonna-taylor-t-shirt-investigation/,9/14/2020 19:19,lightblue
cbs,['\n            U.S. airlines report second-quarter losses of $11 billion\n        '],https://www.cbsnews.com/news/u-s-airlines-report-second-quarter-losses-of-11-billion/,9/14/2020 19:19,lightblue
cbs,"['\n            What is the ""Rising American Electorate"" and will it turn out?\n        ']",https://www.cbsnews.com/news/2020-presidential-election-rising-american-electorate/,9/14/2020 19:19,lightblue
cbs,['\n            South Dakota AG reported hitting deer but actually killed a man\n        '],https://www.cbsnews.com/news/south-dakota-attorney-general-reported-hitting-deer-actually-killed-man/,9/14/2020 19:19,lightblue
cbs,"[""\n            Pau Gasol, wife name baby after Kobe Bryant's daughter, Gianna\n        ""]",https://www.cbsnews.com/news/pau-gasol-baby-gianna-kobe-bryant-daughter/,9/14/2020 19:19,lightblue
cbs,['\n            Black students turn to social media to expose racism at school\n        '],https://www.cbsnews.com/news/black-at-instagram-students-private-school-racism-social-media/,9/14/2020 19:19,lightblue
cbs,['\n            WHO reports new daily record in COVID-19 cases\n        '],https://www.cbsnews.com/news/coronavirus-world-health-organization-daily-record-covid-19-cases/,9/14/2020 19:19,lightblue
cbs,"['\n            Trump\'s strategy ""is to create panic,"" Jeh Johnson says\n        ']",https://www.cbsnews.com/news/trump-downplayed-coronavirus-disingenuous-jeh-johnson/,9/14/2020 19:19,lightblue
cbs,"['\n            Dr. Ashish Jha: ""We have not rounded a corner"" on virus vaccine\n        ']",https://www.cbsnews.com/news/covid-vaccine-dr-ashish-jha-brown-university/,9/14/2020 19:19,lightblue
cbs,['\n            Rare dolphins return to Hong Kong waters\n        '],https://www.cbsnews.com/news/rare-dolphins-return-to-hong-kong-after-ferry-traffic-put-on-hold-due-to-coronavirus/,9/14/2020 19:19,lightblue
cbs,"['\n            Israelis angered by virus lockdown: ""They are punishing us""\n        ']",https://www.cbsnews.com/news/coronavirus-israel-nationwide-lockdown-reaction/,9/14/2020 19:19,lightblue
cbs,"['\n            Photo of kid working from home is ""a total mood""\n        ']",https://www.cbsnews.com/news/distance-learning-home-kindergartner-mood/,9/14/2020 19:19,lightblue
cbs,['\n            NFL reminds teams to follow sideline rules on face coverings\n        '],https://www.cbsnews.com/news/nfl-reminds-teams-to-follow-sideline-rules-on-face-coverings/,9/14/2020 19:19,lightblue
